strata,description,land size,year,land,building,total value
9,townhouse,934,2009,564000,0,564000
9,townhouse,949,2005,632000,0,632000
9,townhouse,878,2005,527000,0,527000
9,townhouse,938,2012,605000,0,605000
9,townhouse,926,2008,584000,0,584000
9,townhouse,650,2008,419000,0,419000
9,townhouse,982,2008,648000,0,648000
9,townhouse,821,2008,529000,0,529000
9,townhouse,911,2008,607000,0,607000
9,townhouse,1073,2008,687000,0,687000
9,townhouse,994,2008,657000,0,657000
9,townhouse,826,2005,502000,0,502000
9,residential,9093,1954,1507000,18500,1525500
9,residential,9007,1958,872000,39000,911000
9,residential,9093,1955,788000,65700,853700
9,residential,9124,1968,745000,111000,856000
9,townhouse,1292,1979,573200,0,573200
9,townhouse,1291,1979,596200,0,596200
9,residential,7423,1986,1688000,13300,1701300
9,residential,9705,1958,896000,88500,984500
9,townhouse,1249,2004,705000,0,705000
9,townhouse,932,1996,471000,0,471000
9,townhouse,1440,1998,870000,0,870000
9,townhouse,860,1998,456000,0,456000
9,retail store,32060,2001,3853000,19659000,23512000
9,unclassified,11.91 Acres,1973,32685000,15411000,48096000
9,unclassified,2.107 Acres,1974,8662000,193000,8855000
9,residential,6489,1983,960000,104000,1064000
9,residential,5997,2017,933000,380000,1313000
9,residential,5795,1974,881000,127000,1008000
9,residential,21308,1932,1222000,168000,1390000
9,residential,4064,1989,742000,161000,903000
9,residential,4103,1977,745000,134000,879000
9,residential,6946,1945,848000,25700,873700
9,unclassified,8184,1966,895000,315000,1210000
9,residential,3120,1977,78000,70300,148300
9,residential,3909,1970,732000,85700,817700
9,residential,3961,1970,735000,62300,797300
9,residential,4064,1950,705000,119000,824000
9,residential,8316,1061,950000,210000,1160000
9,residential,9664,1978,880000,127000,1007000
9,residential,17682,1955,1146000,200000,1346000
9,townhouse,846,1995,458000,0,458000
10,townhouse,932,1978,508400,0,508400
10,townhouse,377,1979,600000,0,600000
10,townhouse,549,1979,647000,0,647000
10,townhouse,1315,2008,711000,0,711000
10,residential,6728,1978,890000,117000,1007000
10,residential,4648,1978,759000,126000,885000
10,residential,4346,1978,766000,97300,863300
10,residential,4053,1978,746000,95000,841000
10,residential,4021,1978,744000,106000,850000
10,residential,4093,1978,749000,87500,836500
10,residential,4008,1978,743000,109000,852000
10,residential,4062,1978,747000,109000,856000
10,residential,4000,1978,743000,110000,853000
10,townhouse,1597,1990,841000,0,841000
10,townhouse,1597,1990,869000,0,869000
10,townhouse,1042,1977,517800,0,517800
10,townhouse,1037,1977,535700,0,535700
10,townhouse,1037,1977,515700,0,817700
10,residential,6865,1987,924000,234000,1158000
10,residential,6026,1985,883000,158000,1041000
10,residential,6026,1985,883000,302000,1185000
10,residential,6028,1986,856000,382000,1238000
10,residential,8709,1986,890000,190000,1080000
10,residential,9680,1987,987000,168000,1155000
10,residential,6050,1985,884000,166000,1050000
10,residential,7087,1988,934000,320000,1254000
10,residential,10046,1986,999000,221000,1220000
10,residential,6131,1988,934000,256000,1190000
10,residential,4033,1985,785000,119000,904000
10,residential,5875,1985,893000,239000,1132000
10,residential,4101,1985,774000,153000,927000
10,school,5.4 Acres,1988,2348000,4880000,7228000
10,residential,5994,1980,899000,245000,1144000
10,residential,8307,1980,1037000,161000,1198000
10,residential,6071,1980,903000,233000,1136000
10,residential,6162,1980,908000,178000,1086000
10,residential,6016,1980,900000,192000,1092000
10,residential,7003,1980,977000,238000,1215000
10,residential,6084,1981,904000,178000,1082000
10,residential,6103,1980,905000,239000,1144000
10,residential,10734,1981,1133000,281000,1414000
10,residential,8424,1985,1012000,225000,1237000
10,residential,6073,1981,903000,345000,1248000
10,residential,6034,1982,901000,213000,1114000
10,residential,6022,1981,901000,273000,1174000
10,residential,6125,1980,906000,136000,1042000
10,residential,6240,1980,913000,258000,1171000
10,residential,7942,1980,991000,207000,1198000
10,residential,6043,1980,902000,192000,1094000
10,residential,6703,1980,935000,167000,1102000
11,residential,10477,1976,1267000,212000,1479000
11,residential,6631,1976,1082000,150000,1232000
11,residential,7031,1980,1005000,220000,1225000
11,residential,7697,1974,1138000,186000,1324000
11,residential,6023,1980,1046000,154000,1200000
11,residential,6300,1994,1062000,449000,1511000
11,residential,5094,1993,2079000,254000,2333000
11,residential,10472,1965,2824000,65100,2889100
11,residential,8150,2001,2707000,1370000,4077000
11,residential,8560,1968,1181000,136000,1317000
